t,regime,DeltaPhi,E,I,C
11.78,stable,0.32501,0.501822,0.057418,217.722605
11.8,stable,0.317059,0.501703,0.057192,217.153803
11.82,stable,0.351765,0.501552,0.056538,218.972451
11.84,stable,0.349899,0.501653,0.05674,218.955423
11.86,stable,0.338614,0.501592,0.056752,218.285429
11.88,stable,0.338328,0.501595,0.056747,218.271547
11.9,stable,0.321254,0.501729,0.057225,217.422367
11.92,stable,0.302929,0.501739,0.057226,216.333765
11.94,stable,0.300065,0.501734,0.057274,216.156269
11.96,stable,0.302078,0.501721,0.057383,216.276664
11.98,stable,0.308538,0.501718,0.057481,216.67406
12.0,stable,0.306055,0.501709,0.057416,216.512429
12.02,stable,0.303332,0.501714,0.057524,216.356022
12.04,stable,0.305138,0.501711,0.057678,216.473372
12.06,stable,0.302747,0.5017,0.057611,216.314068
12.08,stable,0.307351,0.501718,0.057574,216.607433
12.1,stable,0.302048,0.501751,0.05775,216.320896
12.12,stable,0.306468,0.501811,0.057878,216.646629
12.14,stable,0.304897,0.50181,0.057879,216.550962
12.16,stable,0.346948,0.501703,0.058064,218.901969
12.18,stable,0.340058,0.501783,0.057551,218.552234
12.2,stable,0.337151,0.501878,0.057317,218.446993
12.22,stable,0.344573,0.501963,0.056984,218.900519
12.24,stable,0.355955,0.50208,0.056232,219.556013
12.26,stable,0.363216,0.502163,0.056176,219.992478
12.28,stable,0.364133,0.502037,0.056168,219.955838
12.3,stable,0.365036,0.502002,0.056217,219.982463
12.32,stable,0.364174,0.502016,0.056226,219.946727
12.34,stable,0.368071,0.50183,0.056211,220.023647
12.36,stable,0.376577,0.501681,0.055977,220.351517
12.38,stable,0.389798,0.501727,0.05598,221.056135
12.4,stable,0.384601,0.501374,0.055985,220.550574
12.42,stable,0.391546,0.501291,0.056031,220.848304
12.44,stable,0.349267,0.501648,0.05618,218.886824
12.46,stable,0.348621,0.501564,0.056321,218.796969
12.48,stable,0.326863,0.501473,0.056645,217.515419
12.5,stable,0.330479,0.501323,0.057022,217.627583
12.52,stable,0.324985,0.501391,0.056988,217.36013
12.54,stable,0.346766,0.501246,0.056912,218.485322
12.56,stable,0.386352,0.500883,0.056573,220.314329
12.58,stable,0.385063,0.50138,0.056457,220.602729
12.6,stable,0.315371,0.500818,0.057377,216.321519
12.62,stable,0.293579,0.501103,0.057221,215.194624
12.64,stable,0.269899,0.501341,0.057445,213.844091
12.66,stable,0.302457,0.501139,0.057652,215.821292
12.68,stable,0.311097,0.501431,0.057235,216.580071
12.7,stable,0.32026,0.501061,0.057231,216.821397
12.72,stable,0.319562,0.500999,0.05729,216.730015
12.74,stable,0.316702,0.501045,0.057262,216.59503
12.76,stable,0.284463,0.501624,0.057296,215.072928
12.78,stable,0.292358,0.502221,0.0576,216.087886
12.8,stable,0.290636,0.502041,0.057628,215.839447
12.82,stable,0.254524,0.502562,0.058009,213.910912
12.84,stable,0.25637,0.502491,0.058011,213.979103
12.86,stable,0.250927,0.502846,0.05833,213.917327
12.88,stable,0.243359,0.50249,0.058218,213.073115
12.9,stable,0.244048,0.502606,0.058199,213.222502
12.92,stable,0.266997,0.503048,0.057847,215.119991
12.94,stable,0.199183,0.503628,0.058844,210.694795
12.96,stable,0.231849,0.503926,0.058874,213.441914
12.98,stable,0.21863,0.503467,0.058805,212.108653
13.0,stable,0.208077,0.503618,0.058874,211.415007
13.02,stable,0.211517,0.503561,0.058899,211.641818
13.04,stable,0.198544,0.503352,0.058957,210.400678
13.06,stable,0.218479,0.503074,0.058642,211.747945
13.08,stable,0.227236,0.502537,0.058171,211.904577
13.1,stable,0.225694,0.50259,0.058178,211.834393
13.12,stable,0.22534,0.502554,0.058185,211.773247
13.14,stable,0.239535,0.502365,0.058102,212.672275
13.16,stable,0.248782,0.502672,0.058002,213.601779
13.18,stable,0.234623,0.502145,0.0585,212.124368
13.2,stable,0.226027,0.502314,0.058553,211.625359
13.22,stable,0.215651,0.502011,0.058712,210.47843
13.24,stable,0.215232,0.501877,0.058892,210.309303
13.26,stable,0.192065,0.502217,0.058579,208.573069
13.28,stable,0.201563,0.502685,0.057933,209.915904
13.3,stable,0.204654,0.502776,0.057829,210.269073
13.32,stable,0.192878,0.503066,0.057891,209.533465
13.34,stable,0.187093,0.502847,0.058191,208.791665
13.36,stable,0.192314,0.50232,0.057823,208.649881
13.38,stable,0.217332,0.501958,0.057757,210.483099
13.4,stable,0.219252,0.502142,0.05763,210.830007
13.42,stable,0.219127,0.502127,0.057628,210.804535
13.44,stable,0.217517,0.502014,0.057745,210.55864
13.46,stable,0.205493,0.502211,0.057769,209.736534
13.48,stable,0.202641,0.502188,0.057769,209.454208
13.5,stable,0.207131,0.50175,0.058233,209.390335
13.52,stable,0.190888,0.501487,0.058746,207.511232
13.54,stable,0.217277,0.501296,0.05865,209.786035
13.56,stable,0.230225,0.50144,0.058495,211.043438
13.58,stable,0.216903,0.501423,0.058499,209.894503
13.6,stable,0.27055,0.500979,0.05771,213.550454
13.62,stable,0.266638,0.500979,0.05771,213.272454
13.64,stable,0.276431,0.500903,0.057587,213.878075
13.66,stable,0.262255,0.50075,0.057799,212.718323
13.68,stable,0.269493,0.500533,0.057958,213.025582
13.7,stable,0.267706,0.500416,0.058095,212.775437
13.72,stable,0.26159,0.500469,0.058098,212.37869
13.74,stable,0.267784,0.50069,0.058172,213.085339
13.76,stable,0.260129,0.500604,0.058162,212.426259
13.78,stable,0.256991,0.500487,0.05888,212.108703
13.8,stable,0.24938,0.500302,0.059124,211.310233
13.82,stable,0.252982,0.500151,0.059062,211.407502
13.84,stable,0.257941,0.500087,0.0591,211.724857
13.86,stable,0.257881,0.50008,0.059111,211.712372
13.88,stable,0.260444,0.500056,0.059074,211.880472
13.9,stable,0.263331,0.500056,0.059075,212.102934
13.92,stable,0.285585,0.500062,0.059106,213.738966
13.94,stable,0.284029,0.50008,0.058736,213.624322
13.96,stable,0.293821,0.500072,0.058801,214.296115
13.98,stable,0.288748,0.500087,0.058369,213.935935
14.0,stable,0.310017,0.500087,0.058385,215.355573
14.02,stable,0.295624,0.500077,0.058133,214.379391
14.04,stable,0.304429,0.500078,0.05802,214.959672
14.06,stable,0.305676,0.500066,0.057969,215.025738
